"no animal", "human"
"polar bear","polar bear, ice bear, white bear"
"bear","brown bear, black bear"
"penguin","penguin"
"whale","whale"
"dolphin","dolphin"
"shark","shark"
"seal","seal, sea lion, walrus"
"fish","fish in the water"
"elephant","elephant"
"horse","horse, wild horse, zebra"
"giraffe","giraffe"
"large cats","lions, tigers, leopards"
"apes","monkey, ape"
"bird","bird, toucan, eagle, parror"
"insects","spiders, bugs, worms"
"reptiles","crocodile, snake, turtle, lizard"
"unknown animal","a photo that shows an arbritrary animal, cat, dog"
