"medium close-up","medium close-up"
"micro","micro shot"
"over shoulder","over shoulder"
"panorama","panorama shot"
"two shot","two shot"
"top shot","top shot"
"three shot","three shot"
"high angle","high angle"
"low angle","low angle"
"Mise-en-cadre","Mise-en-cadre"
"choker close-up","choker close-up"
"close-up","close-up"
"tilted","tilted"
"detail","detail"
"establishing shot","establishing shot"
"long shot","long shot"
"macro","macro shot"
"medium","medium shot"
"nondiegetic insert","nondiegetic insert"
